"???","????","??","???","?(%)"
"0","??","6330","5411","85.48"
"1","???","309","118","38.19"
"2","???","45","11","24.44"
"3","???","39","9","23.08"
"4","???","88","54","61.36"
"5","???","47","11","23.40"
"6","???","38","21","55.26"
"7","???","50","14","28.00"
"8","???","88","34","38.64"
"9","???","72","47","65.28"
"10","???","70","62","88.57"
"11","???","250","231","92.40"
"12","???","247","232","93.93"
"13","???","830","804","96.87"
"14","????","475","465","97.89"
"15","???","115","24","20.87"
"16","???","54","49","90.74"
"17","???","71","65","91.55"
"18","???","39","36","92.31"
"19","???","20","19","95.00"
"20","???","90","21","23.33"
"21","???","96","77","80.21"
"22","???","204","190","93.14"
"23","???","396","361","91.16"
"24","???","61","53","86.89"
"25","???","56","54","96.43"
"26","???","191","174","91.10"
"27","???","600","592","98.67"
"28","???","426","413","96.95"
"29","???","69","67","97.10"
"30","????","60","56","93.33"
"31","???","16","16","100.00"
"32","???","26","16","61.54"
"33","???","106","104","98.11"
"34","???","153","150","98.04"
"35","???","77","72","93.51"
"36","???","26","23","88.46"
"37","???","40","38","95.00"
"38","???","55","49","89.09"
"39","???","16","15","93.75"
"40","???","222","211","95.05"
"41","???","30","28","93.33"
"42","???","78","64","82.05"
"43","???","58","53","91.38"
"44","???","32","26","81.25"
"45","???","60","57","95.00"
"46","????","71","60","84.51"
"47","???","68","65","95.59"
